# Gaussian Noise Analysis
# Date: 2025-05-20 21:26:32
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=2

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4236    |   inf   
   5    |   0.3886    |  26.01  
  10    |   0.3333    |  20.10  
  15    |   0.2775    |  16.77  
  20    |   0.2775    |  14.53  
  25    |   0.2006    |  12.92  
  30    |   0.2006    |  11.72  
  35    |   0.2208    |  10.80  
  40    |   0.2775    |  10.09  
  45    |   0.2775    |   9.53  
  50    |   0.2775    |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5081    |   inf   
   5    |   0.4095    |  25.98  
  10    |   0.3886    |  20.09  
  15    |   0.3886    |  16.77  
  20    |   0.3333    |  14.53  
  25    |   0.3543    |  12.92  
  30    |   0.2775    |  11.72  
  35    |   0.2775    |  10.80  
  40    |   0.2775    |  10.09  
  45    |   0.2775    |   9.53  
  50    |   0.2775    |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5560    |   inf   
   5    |   0.4857    |  25.95  
  10    |   0.4312    |  20.09  
  15    |   0.4312    |  16.77  
  20    |   0.4312    |  14.53  
  25    |   0.3762    |  12.92  
  30    |   0.3762    |  11.72  
  35    |   0.3204    |  10.80  
  40    |   0.2985    |  10.09  
  45    |   0.2985    |   9.53  
  50    |   0.2985    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6900    |   inf   
   5    |   0.6346    |  25.91  
  10    |   0.5619    |  20.08  
  15    |   0.4857    |  16.76  
  20    |   0.4857    |  14.53  
  25    |   0.4312    |  12.92  
  30    |   0.3762    |  11.72  
  35    |   0.3762    |  10.80  
  40    |   0.3204    |  10.09  
  45    |   0.3762    |   9.53  
  50    |   0.3762    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.7879    |   inf   
   5    |   0.7879    |  25.86  
  10    |   0.6900    |  20.06  
  15    |   0.5850    |  16.76  
  20    |   0.5398    |  14.52  
  25    |   0.5398    |  12.91  
  30    |   0.4857    |  11.72  
  35    |   0.4857    |  10.80  
  40    |   0.4857    |  10.09  
  45    |   0.4312    |   9.53  
  50    |   0.3762    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.8365    |   inf   
   5    |   0.8365    |  25.80  
  10    |   0.8024    |  20.05  
  15    |   0.7708    |  16.75  
  20    |   0.6091    |  14.52  
  25    |   0.5398    |  12.91  
  30    |   0.5398    |  11.72  
  35    |   0.4857    |  10.80  
  40    |   0.4857    |  10.09  
  45    |   0.4857    |   9.52  
  50    |   0.4312    |   9.07  


