# Gaussian Noise Analysis
# Date: 2025-05-21 10:49:36
# Parameters: Image=goldhill, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=16

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.0575    |   inf   
   5    |   0.1476    |  26.07  
  10    |   0.1668    |  20.26  
  15    |   0.1351    |  16.97  
  20    |   0.1300    |  14.75  
  25    |   0.1722    |  13.12  
  30    |   0.1306    |  11.90  
  35    |   0.0706    |  10.95  
  40    |   0.0075    |  10.21  
  45    |   -0.0196   |   9.61  
  50    |   -0.0326   |   9.12  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1383    |   inf   
   5    |   0.1622    |  26.05  
  10    |   0.1996    |  20.25  
  15    |   0.1713    |  16.97  
  20    |   0.2090    |  14.75  
  25    |   0.2090    |  13.12  
  30    |   0.1812    |  11.90  
  35    |   0.1158    |  10.95  
  40    |   0.0600    |  10.21  
  45    |   0.0238    |   9.61  
  50    |   0.0020    |   9.12  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2866    |   inf   
   5    |   0.2650    |  26.02  
  10    |   0.3125    |  20.24  
  15    |   0.3031    |  16.97  
  20    |   0.2746    |  14.74  
  25    |   0.2374    |  13.12  
  30    |   0.2326    |  11.90  
  35    |   0.1619    |  10.95  
  40    |   0.1153    |  10.21  
  45    |   0.0600    |   9.61  
  50    |   0.0325    |   9.12  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4012    |   inf   
   5    |   0.3690    |  25.98  
  10    |   0.3344    |  20.24  
  15    |   0.3524    |  16.96  
  20    |   0.3282    |  14.74  
  25    |   0.3408    |  13.12  
  30    |   0.2712    |  11.90  
  35    |   0.2466    |  10.95  
  40    |   0.1901    |  10.21  
  45    |   0.1107    |   9.61  
  50    |   0.0972    |   9.12  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5556    |   inf   
   5    |   0.6150    |  25.94  
  10    |   0.5121    |  20.23  
  15    |   0.4150    |  16.96  
  20    |   0.3820    |  14.74  
  25    |   0.3662    |  13.12  
  30    |   0.3181    |  11.90  
  35    |   0.2662    |  10.95  
  40    |   0.2563    |  10.21  
  45    |   0.1244    |   9.61  
  50    |   0.1619    |   9.12  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6366    |   inf   
   5    |   0.6772    |  25.89  
  10    |   0.6086    |  20.21  
  15    |   0.5255    |  16.95  
  20    |   0.4868    |  14.74  
  25    |   0.4538    |  13.12  
  30    |   0.3490    |  11.90  
  35    |   0.3231    |  10.95  
  40    |   0.2752    |  10.20  
  45    |   0.2230    |   9.61  
  50    |   0.1619    |   9.12  


