# JPEG Quality Compression Analysis
# Date: 2025-05-20 21:35:56
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=4

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   -0.0434   |  24.00  
  12    |   0.0260    |  30.31  
  23    |   0.0000    |  32.35  
  34    |   -0.0282   |  33.39  
  45    |   -0.0455   |  34.13  
  56    |   -0.0282   |  34.72  
  67    |   -0.0282   |  35.45  
  78    |   -0.0369   |  36.52  
  89    |   -0.0369   |  38.57  
  100   |   -0.0369   |  50.17  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0590    |  23.99  
  12    |   0.0716    |  30.28  
  23    |   0.0716    |  32.30  
  34    |   0.0804    |  33.33  
  45    |   0.0173    |  34.05  
  56    |   0.0998    |  34.63  
  67    |   0.0455    |  35.35  
  78    |   0.0542    |  36.39  
  89    |   0.0716    |  38.36  
  100   |   0.0716    |  47.88  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1455    |  23.98  
  12    |   0.2649    |  30.22  
  23    |   0.1622    |  32.20  
  34    |   0.2089    |  33.20  
  45    |   0.2183    |  33.91  
  56    |   0.2369    |  34.46  
  67    |   0.2278    |  35.16  
  78    |   0.2463    |  36.14  
  89    |   0.2089    |  37.98  
  100   |   0.2089    |  45.24  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1632    |  23.96  
  12    |   0.3685    |  30.16  
  23    |   0.2752    |  32.10  
  34    |   0.3159    |  33.06  
  45    |   0.3610    |  33.74  
  56    |   0.3714    |  34.28  
  67    |   0.2952    |  34.94  
  78    |   0.3714    |  35.88  
  89    |   0.3610    |  37.57  
  100   |   0.3714    |  43.42  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2463    |  23.94  
  12    |   0.5197    |  30.06  
  23    |   0.4150    |  31.96  
  34    |   0.4655    |  32.86  
  45    |   0.4502    |  33.52  
  56    |   0.4655    |  34.03  
  67    |   0.4655    |  34.65  
  78    |   0.4655    |  35.52  
  89    |   0.4655    |  37.06  
  100   |   0.4655    |  41.71  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3116    |  23.91  
  12    |   0.5436    |  29.93  
  23    |   0.5023    |  31.72  
  34    |   0.4898    |  32.62  
  45    |   0.4775    |  33.23  
  56    |   0.4898    |  33.71  
  67    |   0.4898    |  34.27  
  78    |   0.4898    |  35.07  
  89    |   0.4898    |  36.43  
  100   |   0.4898    |  40.09  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3949    |  23.88  
  12    |   0.5688    |  29.80  
  23    |   0.5286    |  31.56  
  34    |   0.5286    |  32.40  
  45    |   0.5819    |  32.98  
  56    |   0.5954    |  33.45  
  67    |   0.5819    |  33.96  
  78    |   0.5954    |  34.69  
  89    |   0.5954    |  35.92  
  100   |   0.5954    |  38.99  


