# JPEG Quality Compression Analysis
# Date: 2025-05-20 22:34:21
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=4

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0804    |  24.10  
  12    |   -0.1132   |  30.10  
  23    |   0.0434    |  32.37  
  34    |   -0.0306   |  33.71  
  45    |   -0.0220   |  34.68  
  56    |   0.0238    |  35.45  
  67    |   0.0151    |  36.39  
  78    |   0.0151    |  37.77  
  89    |   0.0151    |  40.38  
  100   |   0.0238    |  50.51  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1531    |  24.09  
  12    |   0.1367    |  30.07  
  23    |   0.1904    |  32.33  
  34    |   0.1262    |  33.65  
  45    |   0.0609    |  34.60  
  56    |   0.1069    |  35.37  
  67    |   0.0980    |  36.27  
  78    |   0.0980    |  37.62  
  89    |   0.0980    |  40.12  
  100   |   0.0980    |  48.32  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0965    |  24.08  
  12    |   0.2464    |  30.03  
  23    |   0.3489    |  32.26  
  34    |   0.2742    |  33.54  
  45    |   0.2369    |  34.49  
  56    |   0.2928    |  35.22  
  67    |   0.2928    |  36.09  
  78    |   0.3116    |  37.38  
  89    |   0.2928    |  39.69  
  100   |   0.2928    |  46.04  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1618    |  24.07  
  12    |   0.3231    |  29.97  
  23    |   0.4436    |  32.17  
  34    |   0.4511    |  33.42  
  45    |   0.4436    |  34.32  
  56    |   0.4983    |  35.02  
  67    |   0.4710    |  35.87  
  78    |   0.4710    |  37.08  
  89    |   0.4710    |  39.19  
  100   |   0.4710    |  44.22  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2093    |  24.05  
  12    |   0.5562    |  29.89  
  23    |   0.5187    |  32.05  
  34    |   0.5776    |  33.26  
  45    |   0.5776    |  34.10  
  56    |   0.5776    |  34.78  
  67    |   0.5562    |  35.58  
  78    |   0.5776    |  36.70  
  89    |   0.5776    |  38.60  
  100   |   0.5776    |  42.55  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2093    |  24.03  
  12    |   0.5776    |  29.78  
  23    |   0.6000    |  31.88  
  34    |   0.6000    |  33.04  
  45    |   0.6116    |  33.86  
  56    |   0.6116    |  34.51  
  67    |   0.6000    |  35.24  
  78    |   0.6116    |  36.24  
  89    |   0.6116    |  37.91  
  100   |   0.6116    |  41.02  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3820    |  23.99  
  12    |   0.5887    |  29.66  
  23    |   0.6234    |  31.68  
  34    |   0.6116    |  32.79  
  45    |   0.6234    |  33.55  
  56    |   0.6116    |  34.14  
  67    |   0.6116    |  34.82  
  78    |   0.6234    |  35.73  
  89    |   0.6116    |  37.17  
  100   |   0.6116    |  39.61  


